"","lon","lat"
"540",-80.1917902,25.7616798
"541",-79.3831843,43.653226
"542",-80.1917902,25.7616798
"543",19.5033041,47.162494
"544",-73.212072,44.4758825
"545",-82.2359254,27.044224
"546",-76.9364691,38.902984
"547",-6.2603097,53.3498053
"548",18.0685808,59.3293235
"550",-92.1476353,32.5184775
"552",-118.8375937,34.1705609
"553",-122.2585399,37.8718992
"554",-72.7456519,41.621488
"556",2.6501603,39.5696005
"558",-74.5402506,40.2677539
"559",4.3517211,50.8503463
"560",-79.7919754,36.0726354
"562",-118.2436849,34.0522342
"563",-87.6297982,41.8781136
"564",-118.2436849,34.0522342
"565",28.9783589,41.0082376
"566",-97.678896,30.5082551
"570",11.2888015,46.7340955
"571",-85.323214,51.253775
"574",-73.087749,41.6032207
"579",-75.6971931,45.4215296
"580",-75.6971931,45.4215296
"581",-0.1277583,51.5073509
"582",-6.2603097,53.3498053
"584",7.6615938,51.4332367
"586",9.0128926,40.1208752
"587",-74.0059728,40.7127753
"589",15.2551187,54.5259614
"590",-6.2603097,53.3498053
"591",-5.93012,54.597285
"593",4.3517211,50.8503463
"594",4.3517211,50.8503463
"595",-0.1277583,51.5073509
"596",0.121817,52.205337
"597",-73.134961,40.789142
"598",-0.1097443,51.5484543
"599",-119.0607992,34.2192699
"600",4.3517211,50.8503463
"601",-87.6297982,41.8781136
"602",-99.9018131,31.9685988
"603",-95.712891,37.09024
"605",-0.1277583,51.5073509
"609",-110.9529688,32.238174
"611",24.96676,45.943161
"614",-95.712891,37.09024
"617",-116.419389,34.9592083
"618",-118.2436849,34.0522342
"619",174.885971,-40.900557
"620",-119.4179324,36.778261
"621",-112.0740373,33.4483771
"622",-82.3940104,34.8526176
"623",-73.9441579,40.6781784
"625",144.9630576,-37.8136276
"626",-78.6568942,37.4315734
"627",-89.3985283,40.6331249
"628",-1.5498548,53.7933015
"629",-93.717979,36.970891
"631",-76.3327095,43.1586786
"632",-73.7562317,42.6525793
"634",-76.6121893,39.2903848
"636",-1.4043509,50.9097004
"638",-7.2447879,52.6541454
"640",-70.2962408,41.6687897
"641",-116.419389,34.9592083
"642",-95.712891,37.09024
"643",-74.0059728,40.7127753
"644",-82.9987942,39.9611755
"645",-127.6476205,53.7266683
"646",-95.712891,37.09024
"647",-0.1277583,51.5073509
"648",-97.7430608,30.267153
"650",-117.185294,33.1158665
"651",-75.5138118,40.0362184
"652",-81.7799871,24.5550593
"653",8.8046246,53.1408035
"654",-75.6842858,44.5895244
"656",-94.3985475,35.3859242
"657",-83.9704593,35.7564719
"663",-74.0059728,40.7127753
"666",-76.805345,39.132015
"667",-71.1851943,41.9680101
"669",-159.4852778,22.2236111
"670",-76.6121893,39.2903848
"672",-76.6121893,39.2903848
"673",-92.3340724,38.9517053
"674",-82.907123,40.4172871
"675",-117.1129323,32.7339276
"676",-120.4357191,34.9530337
"678",-95.3698028,29.7604267
"679",-95.992775,36.1539816
"680",-79.3831843,43.653226
"681",-85.6023643,44.3148443
"684",-106.346771,56.130366
"685",-81.0348144,34.0007104
"688",-80.3045967,25.8641207
"690",-9.5668633,52.1544607
"691",-95.712891,37.09024
"692",-81.7841703,41.45226
"693",-122.4194155,37.7749295
"694",-93.2650108,44.977753
"695",-96.7969879,32.7766642
"696",-79.0192997,35.7595731
"697",-73.8370786,40.9125992
"698",-79.3831843,43.653226
"699",-114.0708459,51.0486151
"700",-77.0368707,38.9071923
"702",-73.9554159,41.1181514
"704",-81.655651,30.3321838
"705",-74.4056612,40.0583238
"706",-85.4807825,32.6098566
"707",-78.8783689,42.8864468
"708",-82.907123,40.4172871
"710",-81.3311612,48.4765907
"715",-73.087749,41.6032207
"717",-101.8551665,33.5778631
"718",-74.0059728,40.7127753
"720",-122.4031331,38.4257839
"723",-71.3824374,42.4072107
"726",-95.712891,37.09024
"727",-7.09262,31.791702
"728",-77.4637191,37.5611281
"729",-78.8783689,42.8864468
"731",-79.9958864,40.4406248
"732",-74.0059728,40.7127753
"734",-75.6971931,45.4215296
"735",-118.1170117,33.8816818
"737",-94.3821724,38.9108408
"738",-122.2015159,47.6101497
"739",-119.2233014,46.2349999
"740",-78.458708,38.253749
"741",-99.9018131,41.4925374
"742",-116.419389,34.9592083
"743",-117.6581562,33.5968913
"744",-74.0059728,40.7127753
"745",-74.0059728,40.7127753
"746",-73.9712488,40.7830603
"747",-108.5006904,45.7832856
"749",-94.6707917,38.9822282
"750",-95.971261,36.153315
"752",-95.712891,37.09024
"753",-120.5542012,43.8041334
"754",-97.3307658,32.7554883
"755",-122.2711137,37.8043637
"756",-116.419389,34.9592083
"758",-83.6324022,32.8406946
"760",-78.6381787,35.7795897
"761",-83.6324022,32.8406946
"762",-83.6324022,32.8406946
"763",-97.3326053,32.7075806
"764",-71.5723953,43.1938516
"765",-83.5935011,31.3410184
"766",-87.6297982,41.8781136
"767",-88.1807675,43.0143117
"768",-106.3031138,35.8800364
"770",-88.2825668,42.0354084
"771",-74.0754189,40.9445428
"774",-71.0588801,42.3600825
"775",-73.4529124,44.6994873
"777",-80.3972736,27.6386434
"778",-90.1994042,38.6270025
"779",-82.4571776,27.950575
"780",-81.3392352,28.5999998
"781",-119.8138027,39.5296329
"782",-90.1994042,38.6270025
"783",-82.4571776,27.950575
"784",-82.0105148,33.4734978
"785",-79.8953328,40.8611755
"788",-73.134961,40.789142
"789",-76.1474244,43.0481221
"790",-73.5859487,43.3006281
"791",-74.0059728,40.7127753
"794",-81.5157535,27.6648274
"796",-122.803713,49.1904168
"798",-3.435973,55.378051
"799",-88.7878678,43.7844397
"800",13.404954,52.5200066
"801",-86.475644,30.5394163
"802",83.7786182,26.5045421
"805",-82.9987942,39.9611755
"807",-84.3879824,33.7489954
"808",-97.092877,35.0077519
"809",-82.4571776,27.950575
"811",-77.1945247,41.2033216
"812",4.469936,50.503887
"813",-3.435973,55.378051
"814",4.8951679,52.3702157
"815",25.48583,42.733883
"816",-119.4179324,36.778261
"817",-77.0368707,38.9071923
"818",-114.0708459,51.0486151
"819",-83.47542,42.2746059
"820",2.3522219,48.856614
"821",-6.4633381,52.336916
"823",-66.58973,6.42375
"825",-105.8700901,34.5199402
"827",-106.346771,56.130366
"828",-96.7969879,32.7766642
"829",-111.0937311,34.0489281
"830",-122.4194155,37.7749295
"831",-97.1416768,32.5631924
"832",-108.7306725,42.833014
"833",-93.6018389,44.7893446
"834",-123.1226091,49.273955
"836",-78.458708,38.253749
"837",-79.6441198,43.5890452
"838",-73.7948516,41.1220194
